Bitcoin;$170420782092;$9369.05
Ethereum;$19346808443;$176.70
XRP;$10376496013;$0.237527
Bitcoin Cash;$7118994902;$390.07
Bitcoin SV;$5513293482;$302.13
Tether;$4649598554;$1.00
Litecoin;$3935152680;$61.52
EOS;$3919296152;$4.12
Binance Coin;$2827377373;$18.18
Ethereum Classic;$1458305005;$12.54
Cardano;$1414358481;$0.054551
TRON;$1247081360;$0.018702
Monero;$1222025119;$70.14
Stellar;$1216028867;$0.060616
Dash;$1144302944;$123.05
Tezos;$1136839485;$1.64
Chainlink;$977574405;$2.79
UNUS SED LEO;$902360228;$0.902813
Cosmos;$836611557;$4.39
Huobi Token;$817869297;$3.46
IOTA;$799075218;$0.287486
Neo;$796525056;$11.29
HedgeTrade;$747905936;$2.59
Crypto.com Coin;$694372801;$0.052082
Zcash;$568528402;$64.95
